rank,parcel_id,county,amount,acreage,price_per_acre,water_score,description,water_features,investment_score
22,0129001130210200000000,Autauga,62.12,0.25,248.48,3.0,LOT 8 BLK 7 5TH ADD GREEN SPRINGS HILLS LESS PT I,,94.06
23,3424072510040010000,Hale,85.0,0.337,252.2255192878338,3.0,"LOTS 104 & 141 6TH ADD, LAKESIDE ESTATES, 1/86. S2",,95.73
24,0123000330010130000000,Autauga,65.33,0.25,261.32,3.0,LOTS 11 & 12 BLK 3 SPRING HGHLDS SECT 03 TWSP 17S,,89.99
25,611106130004030000,Talladega,96.61,0.344,280.843023255814,7.0,75' X 200' (D)  LOT 178 COUNTRY CLUB EST LAKE POIN,lake,88.44
26,611106130005049000,Talladega,96.97,0.344,281.88953488372096,3.0,75' X 200' LOT 120 COUNTRY CLUB EST. LAKEWOOD S13,,85.83
27,0123000330080140000000,Autauga,70.82,0.25,283.28,3.0,LOT 17 BLK 4 SPRING HGHLDS SECT 03 TWSP 17S RANGE,,83.01
28,0116002000000320000000,Autauga,71.39,0.25,285.56,4.0,LOT 6 BLK 6 TOWN OF FLAT CREEK,creek,82.9
29,0116002000000290000100,Autauga,71.58,0.25,286.32,4.0,LOT 1 BLK 4 TOWN OF FLAT CREEK,creek,82.68
30,0123000330080120000000,Autauga,73.38,0.25,293.52,3.0,LOT 20 BLK 4 SPRING HGHLDS SECT 03 TWSP 17S RANGE,,80.12
31,0125002030040130190000,Autauga,142.7,0.445,320.67415730337075,3.0,COM SE COR OF LOT 101 ROWAN SPRINGS FIRST SEC PB,,77.73
32,0122002340070050000000,Autauga,80.49,0.25,321.96,2.0,LOT 5 BLK 1 J C WESTBROOK,,72.55
33,3424060020040010010064,Hale,37.17,0.115,323.2173913043478,3.0,LOT 144 ADD #7 LAKESIDE EST CAROLINA DR 50 X 100,,69.73
34,0121000320010180000000,Autauga,87.65,0.261,335.823754789272,1.0,POB COM 158 FT SE OF INTER OF BANKHEAD HWY & SYCA,,69.79
35,0123000330090150000000,Autauga,86.05,0.25,344.2,3.0,LOT 21 BLK 5 SPRING HGHLDS,,68.32
36,581001010001001130,Saint Clair,186.45,0.517,360.6382978723404,2.0,SUB MEADOW BROOK 18TH SECTOR PHASE I  L90-A B000 M,,70.09
37,0123000330080040000000,Autauga,90.72,0.25,362.88,3.0,LOTS 7 & 8 BLK 4 SPRING HGHLDS SECT 03 TWSP 17S R,,64.8
38,6122041730010010000000,Talladega,187.9,0.506,371.34387351778656,2.0,110.2 X 200.2 IRR C MEADOW BROOK EST CHILDERSBURG,,67.86
39,0543020400100620000000,Baldwin,96.04,0.25734618916437096,373.1937912578056,7.0,59' X 190' LAKE FOREST SUB UNIT 19 LOT 63 PLAT BO,lake,64.83
40,0543020400100620000000,Baldwin,96.04,0.25734618916437096,373.1937912578056,7.0,59' X 190' LAKE FOREST SUB UNIT 19 LOT 63 PLAT BO,lake,64.83
41,0123001430130020000000,Autauga,94.62,0.25,378.48,7.0,LOTS 14 & 15 BLK 15 EAST LAKE HGLDS,lake,63.78
42,6122041730010020000000,Talladega,185.7,0.459,404.5751633986928,2.0,100' X 200' D MEADOWBROOK EST. CHILDERSBURG LOT 2,,61.45
43,0123000330090040000000,Autauga,101.62,0.25,406.48,3.0,LOTS 8 & 9 BLK 5 SPRING HGHLDS,,57.85
44,611801022004009000,Talladega,140.07,0.34,411.9705882352941,2.0,LOT 80' X 185' (S) BEG. AT SW COR OF LOT 9 & RUN E,,58.27
45,0543020400010460000000,Baldwin,120.34,0.29017447199265384,414.71601265822784,7.0,80' X 158' LAKE FOREST SUB UNIT 25 LOT 48 PB8 PG8,lake,58.93
46,0543020400010460000000,Baldwin,120.34,0.29017447199265384,414.71601265822784,7.0,80' X 158' LAKE FOREST SUB UNIT 25 LOT 48 PB8 PG8,lake,58.93
47,5813042040050110010000,Saint Clair,187.91,0.44,427.0681818181818,7.0,SUB OLD CAHABA IV 2ND ADD PH 4 LAKE ACCESS L1511A,lake,59.83
48,0123001540040100000000,Autauga,110.25,0.25,441.0,7.0,LOT 3 BLK 56 EAST LAKE,lake,54.74
49,0123001120070200000000,Autauga,119.88,0.25,479.52,7.0,LOT 4 BLK 17-B EAST LAKE LAND COS FIRST ADD TO EA,lake,50.34
50,5705051522040140000,Russell,122.21,0.25,488.84,2.0,S15 T17N R30E LOT 2 BRANCH CIRCLE BLK IN CRAWFORD,,47.79
